
2025/04/13 (02:12:49) | ===> btop++ v.1.4.0
2025/04/13 (02:12:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (03:30:07) | ===> btop++ v.1.4.0
2025/04/13 (03:30:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (03:45:00) | ===> btop++ v.1.4.0
2025/04/13 (03:45:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (09:11:57) | ===> btop++ v.1.4.0
2025/04/13 (09:11:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (09:43:13) | ===> btop++ v.1.4.0
2025/04/13 (09:43:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (09:43:42) | ===> btop++ v.1.4.0
2025/04/13 (09:43:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (09:43:49) | ===> btop++ v.1.4.0
2025/04/13 (09:43:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (14:24:10) | ===> btop++ v.1.4.0
2025/04/13 (14:24:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (14:27:42) | ===> btop++ v.1.4.0
2025/04/13 (14:27:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (15:23:06) | ===> btop++ v.1.4.0
2025/04/13 (15:23:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (15:23:52) | ===> btop++ v.1.4.0
2025/04/13 (15:23:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (15:45:38) | ===> btop++ v.1.4.0
2025/04/13 (15:45:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (15:45:51) | ===> btop++ v.1.4.0
2025/04/13 (15:45:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (18:00:09) | ===> btop++ v.1.4.0
2025/04/13 (18:00:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (18:11:55) | ===> btop++ v.1.4.0
2025/04/13 (18:11:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/04/13 (19:25:12) | ERROR: Stall in Runner thread, restarting!
2025/04/13 (19:27:46) | ERROR: Stall in Runner thread, restarting!
2025/04/13 (19:28:31) | ERROR: Stall in Runner thread, restarting!
2025/04/13 (19:29:20) | ERROR: Stall in Runner thread, restarting!

2025/04/13 (21:05:26) | ===> btop++ v.1.4.0
2025/04/13 (21:05:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (21:08:10) | ===> btop++ v.1.4.0
2025/04/13 (21:08:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (21:10:08) | ===> btop++ v.1.4.0
2025/04/13 (21:10:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (21:11:08) | ===> btop++ v.1.4.0
2025/04/13 (21:11:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/13 (21:17:52) | ===> btop++ v.1.4.0
